status,name_of_covered_entity,individuals_affected,breach_submission_date,web_description,location_of_breached_information,state,covered_entity_type,type_of_breach,business_associate_present
current,9b68a7b801e7714afbb495d2b4ab482e89118e12e3ba4358d23f13bf880cee22,5100,10/29/2023,,Network Server,IA,Business Associate,Hacking/IT Incident,Yes
current,1a753af387e70e6917d33666c8eba32fbd6d77ab2216a308ca23aa6fdbfa8170,27800,10/27/2023,,Network Server,CO,Healthcare Provider,Hacking/IT Incident,No
current,0c5c17b3a2e3c5a7c433d9325e4e351ed3b11e5e02e86fce30ee35d620ccb94c,777,10/27/2023,,Email,MS,Healthcare Provider,Unauthorized Access/Disclosure,Yes
current,f3678780ced0e0d503c3bf3008e47146da9574126369f16206e0be77cd942b87,13862,10/27/2023,,Network Server,MS,Business Associate,Hacking/IT Incident,Yes
current,9ce835a47b0572279a98ec75a7889acd3213e7263e632d6badfc34e9eb874f4d,500,10/26/2023,,Network Server,IL,Business Associate,Hacking/IT Incident,Yes
current,8ca98606f4e485df9d24a61a4089c495b543daa4d9c698c515f17f4331486d96,279156,10/26/2023,,Network Server,NY,Healthcare Provider,Hacking/IT Incident,No
current,7addafd8030f8f0a17324a9bf7617a8607adb275a56b5a519b6df60f4ada9a3f,350863,10/26/2023,,Network Server,MS,Healthcare Provider,Hacking/IT Incident,No
current,cbf1615ee6c2cdb36281fa629a3c672b260511adb8746ca6b24f7d7cc759b28e,14912,10/25/2023,,Network Server,VA,Healthcare Provider,Hacking/IT Incident,No
current,262a382400a67323ed63c9e238caa2730ee30f49438281805249139d637b154a,6684,10/25/2023,,"Desktop Computer, Network Server",FL,Healthcare Provider,Hacking/IT Incident,No
current,780e4b8c91f5eb071c5ecb6252028ac0ca406c65fc5120aa62d2a01d2393e49d,768,10/24/2023,,Network Server,CO,Business Associate,Hacking/IT Incident,Yes
current,84d5f6b80ab1203008a8bb5806c5ac4b79524688950a643f4283c3b57e54adb0,2187,10/24/2023,,Paper/Films,LA,Business Associate,Unauthorized Access/Disclosure,Yes
current,7b1cd061962e032a4d9be708734d34709855ef443a53c09fafa600d0df3f8f04,61033,10/23/2023,,Network Server,MI,Healthcare Provider,Hacking/IT Incident,No
current,1349da2f7ff15c4eb803db394d27c4a6ab2965080cb2db726fdfd8193e2fdf0c,107143,10/23/2023,,Network Server,ND,Healthcare Provider,Hacking/IT Incident,No
current,7ea2653daf64f4a28331cd59fc68b59ef2c6a98e14e8754bea09ad16c70f233e,501,10/20/2023,,Network Server,DE,Healthcare Provider,Hacking/IT Incident,No
current,dfdae4f09516659ab7f634e53f266cf9de6ab8dfd4631458b07b1c52041cb1d9,501,10/20/2023,,Network Server,MI,Healthcare Provider,Hacking/IT Incident,No
current,4102e4839ba82711c15ba4e323df65229702c64ec066e0324c334646c663012b,501,10/20/2023,,Email,PA,Health Plan,Hacking/IT Incident,No
current,134f5961d84032c0289661cde93ed076d3e05a516c6ab298a09845df83d5b6d0,135742,10/19/2023,,Network Server,PA,Business Associate,Hacking/IT Incident,Yes
current,42d4a8641efcea479671eb1b5a35ddae943ac305dc3b442ad867060d75d8ed09,3365,10/19/2023,,"Desktop Computer, Email",OK,Healthcare Provider,Hacking/IT Incident,No
current,9d08dbc60cac791cd2a14a2c3655e30b9bb6a3dae1c4478bedc8f5649a80015a,16598,10/19/2023,,Network Server,IL,Healthcare Provider,Hacking/IT Incident,Yes
current,3c8627e4fe192a5aa631d40635247aadd67edf5a977ae5cdc70a30b37ef12835,600,10/19/2023,,Desktop Computer,CA,Business Associate,Theft,Yes
current,bbd9752bfdfaa3b60058807554f89c5d70f75f7681c34e211079742843994d68,1045,10/19/2023,,Network Server,NY,Health Plan,Hacking/IT Incident,No
current,9353516af2ae3338bcf8f339aade10f6bf4f743c57b36b7a5336fd1c2767fed6,501,10/18/2023,,Network Server,MS,Healthcare Provider,Hacking/IT Incident,No
current,c2f98161d3b9c2de0f5ddd3e734ebd7fcc59bd78b0faa426ff9d1aefdd31f133,4049,10/18/2023,,Network Server,MA,Health Plan,Hacking/IT Incident,No
current,3c40ebe39238b7960abfbae07aa656b080c603ce89f0a7872885da19d9dae23e,628,10/18/2023,,Email,TX,Healthcare Provider,Hacking/IT Incident,No
current,94d211f3544deec3991ae8929572ce6d508252358213071f38262d372680195c,11438,10/16/2023,,Network Server,PA,Healthcare Provider,Hacking/IT Incident,No
current,0a94695abfd07d91cac28da94e8b28f6779f603d74fd7967b17e5d2cf6134b7b,626,10/15/2023,,Email,OR,Healthcare Provider,Unauthorized Access/Disclosure,No
current,02b76982004ed39a7fe278714a9a6a9e60a217212b528d5b3e0946e8ef963e60,50065,10/13/2023,,Network Server,MD,Business Associate,Hacking/IT Incident,Yes
current,a547179613d10d947892e20c43778cc1f5567fb0953ddb0aa5224bf0517f39e9,10831,10/13/2023,,Network Server,CT,Healthcare Provider,Unauthorized Access/Disclosure,No
current,21b8b2e856af774e9e20aaacb54f35b2018bc78a4dd59f66c0889f60926dbddb,2956,10/10/2023,,Network Server,GA,Business Associate,Hacking/IT Incident,Yes
current,c7b86d26a35b3b5889f85d4fce15e44467b6f52442544ff2708a958392f9b958,1857,10/10/2023,,Email,TX,Healthcare Provider,Hacking/IT Incident,No
current,18a2ef9e5df39a8cebfef16e0d0a8eb1bb13a50895ca1b97a7a48770c23ef644,2035,10/09/2023,,Paper/Films,GA,Business Associate,Unauthorized Access/Disclosure,Yes
current,64d6c009ca026a42a9f10bdbe3ed4e9535de99c21ee6f60fd7826b3c2a7e8839,501,10/08/2023,,Network Server,NJ,Healthcare Provider,Hacking/IT Incident,No
current,30aa87b70c1e24249feef437d5ce32aac4c34fce1bd4ce35f541c1337433baa4,48459,10/06/2023,,Network Server,NY,Healthcare Provider,Hacking/IT Incident,No
current,d26cf7ad2a93aeaf645ec4d62b5b2f701c6f3165b12ae9771a0645f3f0538ee4,1599,10/05/2023,,Email,TX,Healthcare Provider,Unauthorized Access/Disclosure,No
current,01eaf872859f7b660e0757f2b5919547864c10f298b035192ed1a796d066b849,679,10/05/2023,,Network Server,IL,Healthcare Provider,Hacking/IT Incident,Yes
current,9fc47a238672f08d655e55f8e93237887c618a17580e576f7669647428707680,5200,10/05/2023,,Paper/Films,FL,Business Associate,Unauthorized Access/Disclosure,Yes
current,6ae2b348d50048ed1a00b6cf4ec3f40cbb210f48e2bf6001b11b29982e5d4955,571,10/05/2023,,Network Server,MN,Healthcare Provider,Hacking/IT Incident,No
current,3c742216c23b80fba436ad282de29e5028e14cb526ec2ae0e21b5e998f019fdf,85952,10/04/2023,,Network Server,AR,Health Plan,Hacking/IT Incident,Yes
current,b57919c9072f0af69fe555f119914daf4f4363c8b4aaee0a1a66822d7b48bb7e,7300,10/02/2023,,"Electronic Medical Record, Network Server",TX,Healthcare Provider,Unauthorized Access/Disclosure,No
current,620dd1cd5ea13ea73ace6e73823330fe315d82bf07750e22d41c19c5ff749893,1975066,09/29/2023,,Network Server,FL,Business Associate,Hacking/IT Incident,Yes
current,29ae772528d363510d24fd1382c32a1de98c0e06dcee34f3ac3aa591f6d6036b,342376,09/29/2023,,Network Server,CA,Business Associate,Hacking/IT Incident,Yes
current,bdaf8e0a6ac38fa79f0fd1621e47fe30140c14d6acc1f30a21fda6f7b8a4439b,895,09/29/2023,,Network Server,GA,Healthcare Provider,Hacking/IT Incident,Yes
current,97c3c1a107491961191d53e194d3e98487ead754f4ddd67cfd1609767f4589c1,1280,09/29/2023,,Network Server,NY,Healthcare Provider,Hacking/IT Incident,No
current,7e1ff719282ff908021979858f324abbd17c2991eb3c86208937c9104cdd944a,630755,09/29/2023,,Other,NY,Business Associate,Unauthorized Access/Disclosure,Yes
current,83c4d4f38fd41ce1a9d3a8d514452eb15061722c1867134f24c355446d1eba54,9580,09/29/2023,,Network Server,NY,Healthcare Provider,Hacking/IT Incident,No
current,b7f4c4ab41a12637f74f43057fee1d6051c5c219b0e39e507c34b0761751c22c,501,09/29/2023,,Network Server,AZ,Healthcare Provider,Hacking/IT Incident,No
current,fea328d590c8336b9e055095c841b07a3e5b58f8211726d95446f5b216f69573,37774,09/29/2023,,Email,TX,Healthcare Provider,Hacking/IT Incident,No
current,3a23853f2ec13c83e3986d4c903ebb01094977cbb3f4df4864f9d614d92e74bc,143833,09/29/2023,,Email,TX,Healthcare Provider,Hacking/IT Incident,No
current,c496326f2eee4bf7da4f5d0e44b7446c7165624ab632c89d4b7ae395d6fd853c,2729,09/29/2023,,Network Server,FL,Business Associate,Hacking/IT Incident,Yes
current,3813c84a309122c8c87998d607ad35ab542e1420b90d295a134a0c8716eb040e,129463,09/27/2023,,Network Server,AL,Healthcare Provider,Hacking/IT Incident,No
current,409812258c6485a4b6bbedecd4cd797b23cf45403773419297edb05133ad8841,6814,09/26/2023,,Email,KY,Healthcare Provider,Hacking/IT Incident,No
current,43ac908246839ba01ba8920d0e1311a68daf08aa46b2d292a4ca20460073e6e7,1110,09/26/2023,,Network Server,NJ,Healthcare Provider,Hacking/IT Incident,No
current,185c968a45cdc8e1e6fd8dcb5b9a97ffa7320f2979257bf93b054da57711577c,1922,09/26/2023,,Network Server,AL,Healthcare Provider,Hacking/IT Incident,No
current,6f50564beaff52d8cee28ab5c74dee09bdd6841c205f50ba57c62cc1428e984f,216047,09/26/2023,,Network Server,IL,Healthcare Provider,Hacking/IT Incident,No
current,177c0e7c4b64d1e536b5a8da9d2b13bb4ec6057024fe61d5ff049ff3b67d8c4e,7281,09/25/2023,,Network Server,NY,Healthcare Provider,Hacking/IT Incident,No
current,cf16487c287890cce1e446a8356b6cc27b2b3f1e966d845c86555f976754d769,718,09/25/2023,,Network Server,IN,Health Plan,Hacking/IT Incident,No
current,58178387a89a74ebd1a95008b725a674951425c3005bafa647c00c4a991671e4,500,09/24/2023,,Network Server,IL,Healthcare Provider,Hacking/IT Incident,Yes
current,1a7312f9b6c447bd9765b1368e2549d59dc74c70e3446c491a161fcfa280f3b2,917,09/22/2023,,Network Server,MO,Business Associate,Hacking/IT Incident,Yes
current,c7f25dd69b876a022a70cd55203f9594acd00c782bf94fe07f0a1de2f32869e8,176203,09/22/2023,,Network Server,AK,Healthcare Provider,Hacking/IT Incident,No
current,a0c59f8469899f9376dae226c39e2054af63edc2a4939836e497b6316b464b22,1505,09/22/2023,,Network Server,PA,Business Associate,Hacking/IT Incident,Yes
current,673476f01f480b21fcce10a91b6cdd2b7459989c424e55d8fe2bdb9306bd1af8,3708,09/22/2023,,Paper/Films,IL,Business Associate,Unauthorized Access/Disclosure,Yes
current,5f7f9f6665d1b4663a67da9d9854bab19810399b5c5878bac10e8f1fa3da11f1,2834,09/22/2023,,Network Server,NJ,Health Plan,Unauthorized Access/Disclosure,No
current,d95a714c502a5a14c73f1b5280992b111e08d73497a0b405fa37dc483ca0db18,4194,09/22/2023,,Network Server,IN,Healthcare Provider,Hacking/IT Incident,Yes
current,84bb85c4f863eeb6eaff7689a11b440fe5d278c5d367f25fe88dab2db9a51257,14171,09/22/2023,,Email,FL,Healthcare Provider,Hacking/IT Incident,No
current,a7e17c99d6f3ab30a7fbf2b6c527cc4961de1c6222f77bea897d48060d933085,728,09/21/2023,,Network Server,GA,Healthcare Provider,Hacking/IT Incident,Yes
current,bfceedf9c468ee290d9536d07500c9e0b5314a3abbd351834b38debd72f9253b,624,09/21/2023,,Email,MN,Healthcare Provider,Unauthorized Access/Disclosure,No
current,8a7dfe2e7f4aee2eabd0fbaa0f2d94c0250f565849e5fa9f654f318be682094f,578,09/21/2023,,Network Server,AR,Health Plan,Hacking/IT Incident,Yes
current,bc711a7d7486a5f50737ca86a66843225005f9f027856092d86f6e972dba41f2,5364,09/20/2023,,Paper/Films,TX,Business Associate,Unauthorized Access/Disclosure,Yes
current,4ee424b35e0a0a4de85aa8a3a23886d77fa17aaa4e02e0c0975b0c4476a9ea9e,1229333,09/18/2023,,Network Server,VA,Health Plan,Hacking/IT Incident,Yes
current,2eb766b467860961e94536e09d85639680b056c6d026dba8fb4af7cfc8208799,2753,09/18/2023,,Other,TN,Healthcare Provider,Hacking/IT Incident,Yes
current,3773a6205e3cbbba39afbce27e10e57aa748dbbed64706cdb927eb17d77c1ef3,1225054,09/15/2023,,Network Server,MA,Business Associate,Hacking/IT Incident,Yes
current,e12f11a9ff01c7c91d2543c647268625b2ee152525f9a0c43b6b6005a21ec47f,283629,09/15/2023,,Network Server,CA,Healthcare Provider,Hacking/IT Incident,No
current,4dcd748ed6b64c907c405696918c4645aafe392fb397b218452cd28651a384d1,430381,09/15/2023,,Network Server,PA,Healthcare Provider,Hacking/IT Incident,Yes
current,382e54cf065e7c25441a6cd513be30cef76a7fdb123bc0d5899cbe9acfc07e17,661,09/15/2023,,Email,TX,Business Associate,Hacking/IT Incident,Yes
current,6c1d1b53c956fbced03f2c972beebf31d0e02c82cd08e2aa8e33666f48b3cbb8,30836,09/15/2023,,Email,TX,Healthcare Provider,Hacking/IT Incident,No
current,20eed606b70a50b2df21569e7db56c630d82852942cf125f1d9f80e323ee75e7,1246,09/15/2023,,Network Server,GA,Health Plan,Hacking/IT Incident,Yes
current,84ed64454eb851b7bdaf1a243de9c8b102d3c34c3ad600dd34358cdc1ffbec59,2502,09/15/2023,,Electronic Medical Record,MO,Healthcare Provider,Unauthorized Access/Disclosure,No
current,64378605b79ee01a9009261aa4d8164c5f183a82dd3c7332a6e6996c658de98c,928,09/14/2023,,Network Server,VA,Health Plan,Hacking/IT Incident,Yes
current,48a487de39f60c89e8c03c895c2e7cb8f7ea87cd30719d92d3944c0e22224c07,3749,09/12/2023,,Network Server,FL,Business Associate,Hacking/IT Incident,Yes
current,5babfaac83beaa767a1965fe205eb43619c3e8df7300bbc78b54be5ae442da91,861,09/08/2023,,Network Server,CA,Healthcare Provider,Hacking/IT Incident,Yes
current,cb9264ac4f57f21eea7989a3a152a7869c88edbb5b3f4b740687a7b1a7cc2292,1431,09/08/2023,,Other,NC,Healthcare Provider,Unauthorized Access/Disclosure,No
current,579576e142420c1ff9d87c45a80e67732458b97975f958fea094fb2fc55861c8,7252,09/07/2023,,Network Server,CT,Healthcare Provider,Hacking/IT Incident,No
current,bcc429e2fe63553d0cd770d35530df6bebef38d73ffa71e48c26bf852cbf1dcb,315915,09/07/2023,,"Network Server, Other",CT,Health Plan,Unauthorized Access/Disclosure,No
current,bec4ecfcaa2b623c950bf06a63cf6304dab55e781e3635815af819b749cc7aa9,4622,09/06/2023,,Network Server,NV,Healthcare Provider,Hacking/IT Incident,No
current,df1babfa71ec591b465b0dba95163c73307542d6693de44115c340109ee75bd2,219707,09/05/2023,,Network Server,KS,Healthcare Provider,Hacking/IT Incident,No
current,806ee9be788f158ba4b0ba089f565714b795a0844920068bca903eccda33b6f6,501,09/05/2023,,Network Server,CA,Health Plan,Hacking/IT Incident,No
current,5ab4fcf3200f7d666c64ef4b965240d73fc7e9c9bdd58577dc9312ed44314fd5,242986,09/05/2023,,Network Server,MS,Healthcare Provider,Hacking/IT Incident,No
current,80f45de254d076b8f7025853c196dc2ff61937cc7e45260de42e263c96b905e4,20498,09/01/2023,,Email,GA,Healthcare Provider,Hacking/IT Incident,No
current,35d3ff16257cb30af88e55f1560bb7f979d83eb824c1fa2a767f637ab1783ad4,1545,09/01/2023,,Email,MD,Healthcare Provider,Unauthorized Access/Disclosure,No
current,6c5cdc4fda633405ad32dbea118063e5af9e6edb7e5d48c4e8601e51b056e508,950,09/01/2023,,Email,MS,Healthcare Provider,Hacking/IT Incident,No
current,ebbe70b0a7c83e7407ac5334ef5d33bd3359a897a508473af4dc2b3381993ebb,12146,09/01/2023,,Network Server,MA,Healthcare Provider,Hacking/IT Incident,No
current,a588dd91620a2dead9b88cee27fffec260beb0f8275c038f648f27147eb34724,1700,08/31/2023,,Network Server,NY,Healthcare Provider,Hacking/IT Incident,No
current,665f62326c849387bd5877877e20ad6e3af3e3dfe378aa378c87137792854d08,5139,08/31/2023,,"Electronic Medical Record, Network Server",MA,Healthcare Provider,Hacking/IT Incident,No
current,d95a714c502a5a14c73f1b5280992b111e08d73497a0b405fa37dc483ca0db18,1191,08/31/2023,,Network Server,IN,Health Plan,Hacking/IT Incident,Yes
current,2a704c2c540c66148dd292542f6fb60a9e805a1f41126963561737c8f73c96c1,2953,08/30/2023,,Other,CO,Business Associate,Unauthorized Access/Disclosure,Yes
current,163b245b661a88f0e97aa41a7259bb73a9ca47666c37481d27efa1a13bff8487,1722,08/30/2023,,Paper/Films,CA,Business Associate,Unauthorized Access/Disclosure,Yes
current,b3844f70227fa5de0b5a9bb4010fc30d5e2d23d7ba0e0cb57c770a16f03f4783,1229333,08/25/2023,,Network Server,IA,Healthcare Provider,Hacking/IT Incident,No
current,c10c946c411f20f297160632f4125f0e86978a85dcd9c02432a2d65a22ed3d5a,9703,08/25/2023,,Email,LA,Healthcare Provider,Hacking/IT Incident,No
current,18a2ef9e5df39a8cebfef16e0d0a8eb1bb13a50895ca1b97a7a48770c23ef644,74730,08/24/2023,,Other,GA,Business Associate,Hacking/IT Incident,Yes
current,93a7f2c1ab8144cd737c7fca5438214f5ad4b915c9fd27a8ca71c078311f9f50,1412,08/24/2023,,Email,MI,Healthcare Provider,Hacking/IT Incident,No
current,e83b7584750989436ff5c04c92ac253f021564f9f3850d07f2515cd43444840e,74884,08/24/2023,,Email,ID,Business Associate,Unauthorized Access/Disclosure,Yes
current,0f10f58db3c7c2079c694e25489f75230022f504f1a37833381afff357fca45e,67336,08/23/2023,,Network Server,GA,Healthcare Provider,Hacking/IT Incident,Yes
current,9f7b42d7adc907fc5a7a9c53967bb5d802d676a91cea5fb5a1504d18959cd7b5,6050,08/23/2023,,Network Server,MN,Business Associate,Hacking/IT Incident,Yes
current,8e539adf8c29c77456f5779371049acf9cf40ab74d4fa5be924925429851471b,1339,08/22/2023,,Network Server,TX,Healthcare Provider,Hacking/IT Incident,No
current,46089900a67d3b2c6961d41196f6864b1d75942f44efec51c79ec56803e0c17f,10140,08/22/2023,,Network Server,VA,Health Plan,Hacking/IT Incident,Yes
current,15673746040f85cdb937baf9e692aa4a7a0958b87d348a32c957daf5f0d44ba8,10037,08/21/2023,,Email,NC,Business Associate,Hacking/IT Incident,Yes
current,267d29f67b44ed56b796a6fbc8c11ccf551f97ec3c72ebedf868342bdbf14013,500,08/21/2023,,"Desktop Computer, Network Server",OK,Healthcare Provider,Hacking/IT Incident,No
current,6249a9e77ebc38afe52ec11a8973b0c321c4242270d253a0636b8f5d254268ce,135394,08/21/2023,,Network Server,MA,Business Associate,Hacking/IT Incident,Yes
current,3b3cdff3c6047f1dfce7bc22181e9700e1135b4bcf9baa44982f5930359e950b,220913,08/21/2023,,Network Server,IL,Health Plan,Hacking/IT Incident,Yes
current,03c88daededc5c2f2c4a1ce3eeff8abf9dae2e7f6d20fee559e9bb71613d5717,126000,08/18/2023,,Network Server,IL,Healthcare Provider,Hacking/IT Incident,No
current,524c5537ac7b7740f5d7cb8807dd25f3bf13613fc4f46e99701f678c3286b99e,2603,08/18/2023,,Network Server,IL,Healthcare Provider,Hacking/IT Incident,Yes
current,fd3d9fddff3442f2ba493ab4abea464d0e10af4ce0b7426acf44be10efc8cbd8,8175,08/18/2023,,Network Server,KY,Healthcare Provider,Hacking/IT Incident,No
current,6639c493265cc29edcb3c2ebcd31cb411721b4d70c7fc2a9e15dbd1412782d56,501,08/17/2023,,Network Server,GA,Healthcare Provider,Hacking/IT Incident,No
current,5ccbd15f05b4f2befef89a1fd6a9bfce9bac8689fe18e5571ba620f3d97e70e1,248943,08/17/2023,,Network Server,IL,Healthcare Provider,Hacking/IT Incident,No
current,50f5a0f278386912280401c38c3bce048d272c386b2881eb98ad302d6c2220a9,599367,08/17/2023,,"Network Server, Other",TX,Healthcare Provider,Hacking/IT Incident,Yes
current,9f6c101446ec804501a012b935e7be2ea47f6d43da60555107a712b542f14061,47485,08/17/2023,,Network Server,AZ,Health Plan,Hacking/IT Incident,Yes
current,ab74a9261a3b739dfa2dcac2eb517e9338d77180575ac626fdd38d96bb8d26ce,501,08/17/2023,,Network Server,TX,Business Associate,Hacking/IT Incident,Yes
current,bcc429e2fe63553d0cd770d35530df6bebef38d73ffa71e48c26bf852cbf1dcb,527,08/17/2023,,Network Server,CT,Health Plan,Hacking/IT Incident,Yes
current,78f8854a44c6a7a4a6b89f5873c1f668b1b73541ac5d7af99c30ad5bfab0f11d,24757,08/17/2023,,Network Server,OH,Business Associate,Hacking/IT Incident,Yes
current,6d75defea54bde9c548e9ddc0f49dfa5e3bed72f12dafb56911ba22b00a44cf3,765,08/16/2023,,Network Server,NY,Healthcare Provider,Hacking/IT Incident,Yes
current,04d8e16b55708c5ff0b6a57da8778a3625e1faf761f72596b8eeb79edb0dafc4,2800,08/16/2023,,Network Server,PA,Healthcare Provider,Unauthorized Access/Disclosure,No
current,ab47bf7eeb40db663f5cf519e8ae6eaee8df0f20978d80202eba553d2350c05f,4140,08/15/2023,,Other Portable Electronic Device,NJ,Healthcare Provider,Unauthorized Access/Disclosure,No
current,a4ee9e7ee4529619f8d634ebb7f37f51b5ab3cfe1df26fe35a6c8aa3279081af,1752076,08/15/2023,,Network Server,OR,Business Associate,Hacking/IT Incident,Yes
current,2e7b7d08b9920eae50730ecf287e210e718e7d8627517a1ba85f0c67bc873adf,3914,08/15/2023,,Network Server,UT,Health Plan,Hacking/IT Incident,Yes
current,840e8984effe226d880f5a619656b37fefaeb50d6dc92332c9ba15ad2855548e,4000,08/15/2023,,Laptop,MD,Healthcare Provider,Theft,No
current,2d6d0ae513d2a3d69bea4817c352de7673f03942445b1cbcb1fe3cdd82205307,8487,08/14/2023,,Network Server,NJ,Health Plan,Hacking/IT Incident,No
current,dc28ff64fb66201f3d2e77703e461657800b418c0cd28339e364b82634699d23,7810,08/14/2023,,Network Server,MS,Business Associate,Hacking/IT Incident,Yes
current,4c3747c833e2ad36a75e2bbcb934d2d579fc8d36c942723239060e87c053131b,103775,08/14/2023,,Network Server,NY,Health Plan,Hacking/IT Incident,Yes
current,2c2c80988c75b71879e598573eee6008c9ad7cd966683900d3b24a09c425411b,47711,08/11/2023,,Network Server,TX,Health Plan,Hacking/IT Incident,No
current,643cb6683eef373be63f043f508629c7eaf1f52ec9b69a9f69d522d6617028ce,4091794,08/11/2023,,Network Server,CO,Health Plan,Hacking/IT Incident,Yes
current,cd408d402a9a2b484e6912fc5ff2bef731939800f06614e99f533f5d6fe5a70d,516,08/11/2023,,Email,IL,Healthcare Provider,Hacking/IT Incident,No
current,62703401d03d4b3a8a8ce48068755cfe8c517051812eda8bc0afb601cbfd9cbc,350000,08/11/2023,,Network Server,TX,Healthcare Provider,Hacking/IT Incident,No
current,6ddae55cce20eaaf087c9511ba581a3176a753c6ec1e88a20dc40ed8a44471b0,223598,08/10/2023,,Network Server,NC,Business Associate,Hacking/IT Incident,Yes
current,e0cf824213c14a45d71658a4ac3a0790723f50a463331ccbed95dbd39ae6b4b8,501,08/10/2023,,Network Server,FL,Healthcare Provider,Hacking/IT Incident,No
current,5ffca4e6d23a151499e289e8e90c0070aac075659048580a808bffe2c7fc23c7,981,08/10/2023,,Email,SC,Healthcare Provider,Hacking/IT Incident,No
current,9a2f79475b335fa556025ffcf972dc82879539caf4c530f0567798b2253d313a,5330,08/10/2023,,Network Server,IN,Business Associate,Hacking/IT Incident,Yes
current,61d413d54f4fa43dc9094d57a52dcdb3195cbd28ef594268895558c0a40ca96a,1446,08/09/2023,,Email,CA,Health Plan,Unauthorized Access/Disclosure,No
current,4ee424b35e0a0a4de85aa8a3a23886d77fa17aaa4e02e0c0975b0c4476a9ea9e,423824,08/09/2023,,Network Server,VA,Health Plan,Hacking/IT Incident,Yes
current,7475e834b7b3b75a792a6a1e5e8467ad55c27e7127e66c55a2e7c248d3b1e732,18261,08/08/2023,,Network Server,MA,Business Associate,Hacking/IT Incident,Yes
current,0e90eecdf3fb13e99dd8f6e8d4e69380e8407ecc126ed1dc61c0d91508dd4d4a,1997,08/08/2023,,Network Server,IL,Healthcare Provider,Hacking/IT Incident,Yes
current,e28793252399dd46e589f6167359fe338ad62e4f9ec0e5bc1afc1cb83476910b,6267,08/08/2023,,Network Server,MI,Healthcare Provider,Hacking/IT Incident,No
current,8bd78c8dadb8229127062fc49ed16d32323b83f1bc5ce1fef9a7a010ccf624a3,33212,08/08/2023,,Network Server,WA,Health Plan,Hacking/IT Incident,Yes
current,8f351e7e84c5f2349e8b2ede3bfcf72c5ddafe4edd91ae6a71c7df5a8da8e84d,1100,08/08/2023,,Network Server,WA,Healthcare Provider,Hacking/IT Incident,No
current,8c2e4e033948c5e3f8ad5b12e5f5b1a8bddc56b60e42ff1348ccf224e1f1512b,739884,08/07/2023,,Network Server,MO,Health Plan,Hacking/IT Incident,Yes
current,e600dcfdf06a3095179391ed70e0fb82d6a488cb7e0e33131443b57ca8e205c4,1345,08/07/2023,,Email,CA,Healthcare Provider,Hacking/IT Incident,No
current,7a63ede71f6c2fc5b12e82692d2c0d8925a29416729fa75b90c6fdfbf7f36fec,1247,08/07/2023,,Network Server,PA,Healthcare Provider,Hacking/IT Incident,Yes
current,68deea39a512d8f8dae19966c86c8570dd3c6bd8e552f18a609f59e4b01250ee,3400,08/05/2023,,"Desktop Computer, Network Server",CA,Healthcare Provider,Hacking/IT Incident,No
current,134f5961d84032c0289661cde93ed076d3e05a516c6ab298a09845df83d5b6d0,600794,08/04/2023,,Network Server,MN,Business Associate,Hacking/IT Incident,Yes
current,3512eda3af68d870c3fda2b44cd4bd73e9efee94921feb2f7b838c5bb17c8590,2781617,08/04/2023,,Network Server,VA,Business Associate,Hacking/IT Incident,Yes
current,d95a714c502a5a14c73f1b5280992b111e08d73497a0b405fa37dc483ca0db18,21383,08/04/2023,,Network Server,IN,Health Plan,Hacking/IT Incident,Yes
current,0e65a38f09c27f51d11cafcbb85528f6e482ed0c0a46473167a4ee1a74a1248d,1769,08/04/2023,,Email,CA,Healthcare Provider,Hacking/IT Incident,No
current,47c1885456cb42b1703fdf76ee2d5336c68508dfca65850699c82546ea7e2ef7,987,08/04/2023,,Network Server,MA,Healthcare Provider,Unauthorized Access/Disclosure,No
current,45f813f89039ee42291e9d345d9efba300479ed10b659023869ce9b77c59e294,531732,08/03/2023,,Network Server,TN,Health Plan,Hacking/IT Incident,No
current,3546442bd6221da2be4b91831a8664c8b2daa7fb39354a5f026c7161eaad9b4a,30253,08/03/2023,,Network Server,TX,Health Plan,Hacking/IT Incident,No
current,5f85156e4e3e362b8a13b67ebdeacb72502e624c5ca1245a44813ca29ac7451f,7313,08/03/2023,,Network Server,TX,Business Associate,Hacking/IT Incident,Yes
current,1bbee2d1b1780cd6ef2191f93295fac98d16e7a653c00fa4a52a3c2f8a7c8891,518,08/03/2023,,Email,GA,Healthcare Provider,Unauthorized Access/Disclosure,No
current,28cf9528c89c24af0afd2b7ecb42b75fa38ef5f80b85f91e614287f189b8b092,4790,08/02/2023,,Email,MO,Health Plan,Hacking/IT Incident,No
current,7d5547cb79fcbd3c0e88dc5136982216c159017ed9175fee44d01880041d9cce,798,08/01/2023,,Email,PA,Healthcare Provider,Unauthorized Access/Disclosure,No
current,ba8a53bcf870513822a4cd908dfafa8eb0b0451afcae63bff96d939450f15d39,1292,08/01/2023,,Network Server,WV,Health Plan,Hacking/IT Incident,No
current,732addd70fcbd3fc25481658427b243d42a64c802863747a7e1a3245335008e8,11270000,07/31/2023,,Other,TN,Business Associate,Hacking/IT Incident,Yes
current,77ccd6cd3107c66c4c5d54d3ed383a67b894db4f2ab5f6839111521a9a2877dd,2584,07/31/2023,,Network Server,MD,Business Associate,Hacking/IT Incident,Yes
current,6112dca87f01774f80dcc2453e583f71dcb8462337514f37958961d4a19c332a,2975,07/31/2023,,Network Server,MD,Healthcare Provider,Hacking/IT Incident,Yes
